entry,nu_e,nu_pdg,weightSplineTimesTuneTimesPPFX,weightSplineTimesPPFX
10542,2.159539,-12,1.2944212,1.2944212
10543,3.1550858,12,1.2421098,1.2421098
10544,1.3613896,12,3.4411794e-19,0.9851702
10545,1.8727728,12,1.2190934,1.0143166
10546,0.7699554,12,1.0342406,1.0342406
10547,0.92977726,-12,0.9503269,1.0186565
10548,0.4761493,-12,0.010220721,0.5333868
10549,1.4008529,12,0.7701713,0.65466666
10550,1.6126249,-12,1.0355979,0.9761075
10551,1.5732338,12,0.5241768,0.5241768
10552,1.2598742,12,0.79696214,0.6771601
10553,4.565441,12,1.045588,1.045588
10554,0.94087857,12,1.8961437,0.68476987
10555,1.899915,-12,1.2488234,1.0657767
10556,1.2885629,-12,1.0563513,1.0563513
10557,0.7496366,12,1.2645118,1.03506
10558,1.2876619,12,0.59091777,0.59091777
10559,1.3167374,12,0.9228979,0.9228979
10560,1.2977468,12,1.6754489,1.3820503
10561,5.640083,-12,1.3155323,1.1235809
10562,1.3541402,12,0.3479303,0.33947212
10563,2.3431096,-12,0.7759783,0.7759783
10564,0.7447691,12,1.2925675,1.2925675
10565,1.2578758,12,0.86029047,0.86029047
10566,1.5168934,-12,0.53376937,0.53376937
10567,2.6100657,12,0.5716362,0.49618682
10568,2.3092983,12,1.1892313,0.9747526
10569,3.1348462,12,1.2530844,1.0653695
10570,2.272633,12,0.69450873,0.69450873
10571,0.7319104,12,0.9201757,0.9201757
10572,1.616851,12,0.6614139,0.6614139
10573,0.48742175,-12,1.08117,0.9492931
10574,1.3686264,12,0.5457466,0.5457466
10575,2.5264182,-12,1.2669069,1.0938196
10576,1.1595207,12,0.9940939,0.85815924
10577,1.1954771,12,0.33280095,0.3199093
10578,2.015126,12,0.8013085,0.68580467
10579,0.9827356,12,0.76797485,0.71898997
10580,1.1533772,12,4.6845026,0.70218885
10581,0.99057335,12,1.0714198,0.85759825
10582,0.5919575,12,1.0262774,0.87791336
10583,3.8355107,12,0.70051146,0.70051146
10584,1.5804808,12,0.44590956,0.44590956
10585,1.5499144,-12,0.76888764,0.76888764
10586,3.179078,12,0.9217905,0.9217905
10587,1.3135124,-12,0.9068917,0.9068917
10588,3.2686453,-12,1.1561779,1.0
10589,1.9307281,-12,0.9172191,0.9172191
10590,0.89876634,12,1.1670657,0.9918609
10591,0.86928344,-12,1.3489333,1.1333576
10592,0.8889443,12,0.6228988,0.5056627
10593,0.6095726,12,0.5196786,0.9792296
10594,1.3356972,12,1.0013759,1.0013759
10595,1.190938,12,1.4204978,1.4204978
10596,1.0445751,-12,1.0017931,1.0017931
10597,1.0364543,12,0.92787224,0.92787224
10598,1.3869838,12,1.1444066,1.1444066
10599,1.8975796,-12,0.5724076,0.5724076
10600,2.1711447,12,0.4244803,0.4434797
10601,3.0600584,12,1.0978564,1.0978564
10602,1.8966155,12,1.050817,1.050817
10603,1.0898407,12,1.1852885,1.0275106
10604,0.5552806,-12,0.73527586,0.61619294
10605,0.4965572,12,1.3079848,1.093121
10606,2.1612046,12,0.51770085,0.4434797
10607,3.1603072,12,0.6732363,0.6732363
10608,1.3819335,12,0.6969125,0.6969125
10609,1.1949252,-12,1.0465062,1.0465062
10610,1.0633557,-12,0.9472522,0.9472522
10611,1.4369259,-12,0.70337117,0.6018858
10612,2.5618603,-12,0.91965634,0.91965634
10613,0.87770814,12,0.018035654,0.76603436
10614,1.9843936,12,0.59953624,0.59953624
10615,1.7923952,12,0.7832929,0.7832929
10616,0.5916625,12,0.2948856,0.5808169
10617,0.79859143,-12,0.71650577,0.6441518
10618,1.0096902,-12,0.69100034,0.5454339
10619,3.6288335,12,0.9760651,0.9760651
10620,2.7734568,-12,1.4235742,1.4235742
10621,0.8387373,12,0.99798423,0.9963876
10622,2.04034,-12,0.59627694,0.52987283
10623,0.9234515,12,1.0523164,0.91864693
10624,2.2031648,12,0.9976965,0.9976965
10625,0.957634,12,0.53713155,0.53713155
10626,1.8316557,12,1.3366113,1.3366113
10627,7.392312,12,1.0252216,1.0252216
10628,0.93091923,-12,0.001323336,0.89270717
10629,1.448157,12,0.8204588,0.8204588
10630,3.3598187,12,0.9780817,0.9780817
10631,1.7189612,12,0.72103053,0.72103053
10632,2.0508616,12,1.1984212,0.91674554
10633,0.9177839,12,1.3265336,1.1532737
10634,2.1910357,12,0.9976965,0.9976965
10635,0.9991141,12,1.0754776,1.0754776
10636,1.9469151,12,1.2719685,1.2719685
10637,2.4569044,12,0.8128535,0.8128535
10638,0.3583888,12,1.3266988,1.0972912
10639,2.061097,12,1.5175953,1.2766391
10640,1.2143089,12,1.387054,1.0640539
10641,2.0285964,12,1.2766391,1.2766391
10642,1.2214969,-12,0.44597766,0.44597766
10643,1.8495278,12,0.9990564,0.9990564
10644,2.4728832,12,1.1814617,1.0048801
10645,2.7156715,12,0.91069233,0.91069233
10646,0.99637103,-12,0.63578254,0.51982504
10647,1.0460944,12,1.1264173,0.96786046
10648,3.1006129,12,1.7201047,1.7201047
10649,1.5176424,12,1.3381838,1.029662
10650,2.46671,12,0.69969743,0.69969743
10651,1.8081725,12,2.8780636e-05,0.98621887
10652,2.344172,12,0.9314156,0.9314156
10653,0.8881291,-12,1.1844279,0.9991512
10654,0.76179016,12,0.5922334,0.5922334
